Again?,Rating,Summary,Tag,Title,URL,Ingredients,Directions,Tags
100%,3.5,"This Caesar salad–update makes more vinaigrette than you’ll need, and that’s not an accident. Once you taste it, you’ll want a jarful in your fridge at all times.",recipe,Romaine Salad with Rye Crisps and Pecorino Vinaigrette,/recipes/food/views/romaine-salad-with-rye-crisps-and-lemon-pecorino-vinaigrette,"For the rye crisps:4 or 5 slices day-old rye bread, cut into 1/4-inch (6-mm) cubes1/4 cup (60 ml) extra-virgin olive oil2 cloves garlic, mincedA few sprigs fresh thyme or rosemaryPinch kosher saltFor the vinaigrette:2/3 cup (65 g) grated Pecorino-Romano cheese, plus more for serving1/3 cup (75 ml) Champagne vinegar1/3 cup (75 ml) fresh lemon juice1 1/2 tablespoons Dijon mustard1 clove garlic2 teaspoons kosher saltFreshly cracked pepper, plus more for serving1 1/2 cups (360 ml) extra-virgin olive oilFor the salad:3 romaine hearts, ends trimmed, leaves separated, washed, and dried1 large handful fresh mint leaves, roughly torn, some reserved for serving","Make the rye crisps:                                        Preheat the oven to 350°F (175°C).
                                                                            In a food processor, pulse the bread until coarse crumbs form. Spread the crumbs on a baking sheet and toss them with the oil, garlic, herbs, and a pinch of salt until evenly coated. Roast the crumbs, tossing occasionally, until they’re golden brown, 15 to 20 minutes. Once cooled, the rye crisps can be stored in an airtight container at room temperature for up to 2 weeks.
                                    Make the vinaigrette:                                        In a mini food processor, pulse all of the ingredients together until they’re well combined and the dressing has emulsified. (You can also whisk the dressing by hand.)
                                    Make the salad:                                        Place the lettuce leaves in a large bowl and scatter them with the torn mint. Pour about 3/4 cup (180 ml) of the vinaigrette over the leaves, gently tossing until well coated, adding more dressing if needed. Transfer the salad to a platter and, using a fine grater, grate on additional cheese. Scatter with the rye crisps and remaining mint, and finish with freshly cracked pepper.",SaladLettuceItalian AmericanQuick & EasyCheeseVegetarianLemonSide
100%,4.0,"The twice-cooked curd method ensures that these citrus bars are extra sturdy and have a smooth, shiny surface. They hold their shape well even when sliced.",recipe,Grapefruit Bars with Candied Zest,/recipes/food/views/grapefruit-bars-with-candied-zest,"Shortbread base:1 cup all-purpose flour3/4 cup powdered sugar2 Tbsp. granulated sugar3/4 tsp. kosher salt1/2 cup (1 stick) chilled unsalted butter, cut into pieces2 large egg yolksCandied grapefruit zest:1 grapefruit1/2 cup granulated sugar, dividedCurd and assembly:3 large eggs3 large egg yolks1 cup granulated sugar1 Tbsp. cornstarch1 Tbsp. finely grated grapefruit zest (from 1)1/4 cup fresh grapefruit juice (from 1)2 tsp. finely grated lemon zest (from 2)3/4 cup fresh lemon juice (from 5–6)1 tsp. vanilla extract or paste1/2 tsp. kosher salt1/2 cup (1 stick) unsalted butter, room temperature, cut into 8 piecesPowdered sugar (for serving; optional)","Shortbread base:                                        Place a rack in middle of oven; preheat to 350°F. Line an 8x8"" baking pan, preferably metal, with overlapping sheets of parchment paper, leaving at least 4"" overhang on each side. Pulse flour, powdered sugar, granulated sugar, and salt in a food processor a few times to combine. Add butter and pulse until largest pieces are pea-size. Add egg yolks and pulse just until dough comes together in small clumps. (Shortbread can also be made by hand: Whisk dry ingredients in a large bowl, then work in the butter with your fingers before mixing in the egg yolks with a sturdy spoon.)
                                                                            Transfer dough to prepared pan (you may find it easier to form the dough into a ball first, instead of working with clumps—entirely up to you!) and press into an even layer. If dough is sticky, use a piece of plastic wrap between your hand and the dough. Prick dough with a fork in several spots (this helps it stay flat as it bakes). Bake shortbread until edges and top are golden brown, 24–28 minutes. Let cool.
                                    Candied grapefruit zest:                                        While the shortbread is baking, use a sharp knife to remove zest from grapefruit in 2""–3"" wide strips (it’s okay to leave some white pith attached). Slice strips very thinly lengthwise; save fruit for another use. Combine zest and 2 cups water in a small saucepan and bring to a simmer. Drain immediately. Combine zest with 1/4 cup granulated sugar and 1 cup water in the same saucepan and bring to a simmer. Cook, stirring occasionally, until zest is translucent and softened, 15–20 minutes. Drain, discarding syrup, and toss zest in a small bowl with remaining 1/4 cup granulated sugar. Set aside until ready to use.
                                    Curd and assembly:                                        Reduce oven temperature to 300°F. Vigorously whisk eggs, egg yolks, granulated sugar, and cornstarch in a large saucepan until smooth and sugar is mostly dissolved. Whisk in grapefruit zest and juice, lemon zest and juice, and vanilla. Set saucepan over medium heat and cook, whisking constantly and making sure to get into the corners of the pan, until curd begins to bubble slightly around the edges and thickens, about 5 minutes. Simmer very gently, still whisking, 30 seconds, then remove from heat. Whisk salt into curd, followed by butter a piece at a time, whisking to fully incorporate after each addition. Scrape curd into pan with shortbread and smooth over crust. Top with some of the candied grapefruit zest (you probably won’t need all of it; snack on any left over!).
                                                                            Bake grapefruit bars until surface of curd is set (the center will still wobble slightly when pan is gently shaken), 20–25 minutes. Transfer to the refrigerator and chill until very cold, at least 3 hours, or preferably overnight.
                                                                            Just before serving, slice grapefruit bars into 2"" squares and dust with powdered sugar if desired.
                                    Do Ahead                                        Shortbread can be baked 3 days ahead. Store tightly covered at room temperature.
Grapefruit can be candied 1 week ahead. Store airtight at room temperature.
Bars can be baked 3 days ahead. Cover and keep chilled.",Bon AppétitHoliday 2018CookiesChristmasChristmas EveWinterCitrusGrapefruitEggLemonButterBakeDessertsnack
50%,3.0,"Put the chicken in this lemony, garlic-loaded marinade now so you can make kebabs as soon as the weekend rolls around.",recipe,Grilled Chicken Skewers with Toum,/recipes/food/views/grilled-chicken-skewers-with-toum-shish-taouk,"Toum:6 garlic cloves2 large egg whites (see note)2 Tbsp. fresh lemon juice1 1/2 cups vegetable oilChicken and assembly:3 Tbsp. fresh lemon juice2 Tbsp. tomato paste1 Tbsp. ground coriander3 Tbsp. vegetable oil, plus more for grill1 1/4 lb. skinless, boneless chicken thighs4 pitas, warmedSpecial Equipment5 (8""–12""-long) metal skewers","Toum:                                        Pulse garlic, egg whites, and lemon juice in a food processor until smooth. With motor running, very gradually stream in half of the oil (this will help the emulsion stay together). Scrape down sides of processor and continue to process, gradually adding remaining oil, until mixture thickens and becomes light and airy (it should cling to a spoon). Season with salt.
                                     Do Ahead: Toum can be made 2 days ahead. Cover and chill.
                                    Chicken and assembly:                                        Mix lemon juice, tomato paste, coriander, 1/4 cup toum, and 3 Tbsp. oil in a large bowl to combine. Transfer marinade to a large resealable plastic bag. Save remaining toum for serving.
                                                                            Working one at a time, slice chicken thighs in half lengthwise and season generously with salt. Add to bag with marinade, seal bag, and massage marinade into chicken. Chill at least 3 hours and up to 12 hours.
                                                                            Let chicken sit at room temperature 1 hour before grilling.
                                                                            Prepare a grill for medium heat; oil grate. Thread chicken onto skewers, folding pieces back and forth accordion-style so they pile onto themselves (it should be about 3 strips per skewer). Grill, turning occasionally, until browned and beginning to char in spots, 10–12 minutes.
                                                                            Serve chicken on top of pitas, with pickles and reserved toum alongside",Bon AppétitSummerMiddle EasternDinnerChickenGrillGrill/BarbecueGarlicLemon JuiceCorianderSkewerKid-FriendlySmall PlatesSoy FreeDairy FreePeanut FreeTree Nut Free
100%,3.5,"For mornings when you need to feed a crowd a healthy breakfast, this veggie-packed egg skillet is here for you. Serve with toast on the side for mopping up those runny yolks.",recipe,Mushroom and Kale Breakfast Skillet,/recipes/food/views/mushroom-and-kale-breakfast-skillet,"1/4 cup extra-virgin olive oil1 tsp. cumin seeds1/2 tsp. coriander seeds1/4 tsp. crushed red pepper flakes2 medium onions, halved, sliced lengthwise into 1/4""-thick strips1 lb. mixed wild or crimini mushrooms, sliced 1/4"" thick1 pint cherry or grape tomatoes2 Tbsp. red or white wine vinegar1 1/2 tsp. kosher salt1 bunch curly kale, stems removed, torn into small pieces8 large eggsFlaky sea salt, chopped parsley and/or cilantro, Aleppo-style pepper (optional), and lemon wedges (for serving)","Heat oil in a 12"" skillet over medium-high. Crush cumin, coriander, and red pepper with a mortar and pestle or heavy skillet. Add to hot oil in skillet and stir to coat. Add onions and mushrooms and cook, stirring often, until softened and lightly browned, 6–8 minutes. Add tomatoes, vinegar, and 1 tsp. kosher salt and stir to combine. Add kale, cover skillet, and cook, uncovering and tossing occasionally, until kale is wilted, 4–6 minutes. Season with remaining 1/2 tsp. kosher salt.
                                                                            Make 8 indentations in vegetable mixture. Carefully crack an egg into each. Cover skillet and cook over medium-low heat, rotating skillet on burner halfway through to ensure even cooking, until egg whites are opaque and just set, 8–10 minutes. Top with sea salt, herbs, and Aleppo-style pepper (if using). Squeeze lemon juice over.",EggBreakfastCorianderCuminOnionMushroomTomatoVinegarKaleParsleyCilantroLemonThanksgivingEntertainingWheat/Gluten-FreeBrunch
100%,4.0,"Sinigang is adobo’s close contender for the title of National Dish of the Philippines. Like many Filipino dishes, this soup is bold in taste: sour, salty, slightly sweet, spicy, and umami.",recipe,Seafood Sinigang,/recipes/food/views/seafood-sinigang-sour-and-savory-seafood-soup,"Gremolata (optional):1 tablespoon extra virgin olive oil4 small cloves garlic, finely chopped1 bunch flat-leaf parsley, finely choppedGrated zest of 2 lemonsSinigang:4 cups seafood stock or water with dissolved fish bouillon cubesJuice of 1 lemon, plus more to taste1 teaspoon granulated sugar2 red onions, chopped4 tomatoes, chopped1 pound fish fillets (such as salmon, monkfish, or cod), cut into 4 pieces1/2 pound long beans or green beans, trimmed and cut into 1-inch pieces4 fresh whole chiles of your choice1 bunch water spinach or spinach, thick stems removedFish sauce, to taste1 pound mixed shellfish (such as prawns, shrimp, and crab claws), shelled and cookedCooked rice or crusty bread, for serving","Make the gremolata:                                        In a 3-quart saucepan, heat the olive oil over medium heat until it shimmers. Add the garlic and cook until it is light golden, then immediately remove the pot from the heat. Transfer the garlic mixture to a bowl and let it cool for 1 minute. Mix with the parsley and lemon zest. Set it aside.
                                    Make the sinigang:                                        Pour the seafood stock into the same saucepan used to fry the garlic. Add the lemon juice and sugar and bring the mixture to a boil over medium heat. Add the onions and tomatoes. Cover the pan, reduce the heat to low, and simmer for 5 minutes, or until the onions are translucent and the tomatoes are mushy.
                                                                            Put the fish in a strainer or colander and dunk it into the simmering broth. Cook for 3 to 5 minutes, until opaque throughout. Be careful not to overcook it. Immediately transfer the fish to a plate and set it aside.
                                                                            Put the beans in the strainer and dunk it into the simmering broth. Cook for about 5 minutes, or until the beans are tender but still vibrant green. Transfer the beans to a plate and set it aside.
                                                                            Put the chiles and water spinach in the strainer and dunk it into the simmering broth. Cook for about a minute, or until they are tender but still vibrant in color. Transfer the chiles and spinach to a plate and set it aside.
                                                                            While the broth continues to simmer, taste and add fish sauce and more lemon juice as needed. Distribute and arrange the fish, shellfish, and vegetables into each of four bowls.
                                                                            Remove the broth from the heat and ladle it into the bowls with the seafood and vegetables. Sprinkle each serving with the gremolata. Serve the soup piping hot, with rice or crusty bread.",Southeast AsianAsianSoup/StewDinnerPhilippinesSeafoodShellfishFishSalmonShrimpLemon JuiceLemonTomatoGreen BeanSpinachDairy FreePeanut Free
0%,0.0,Salting and squeezing the radishes seasons and crisps them.,recipe,Radish Rainbow Salad,/recipes/food/views/radish-rainbow-salad,"1 lb. mixed radishes, trimmedKosher salt1 lemon, halved3 oz. Piave cheese or Parmesan, divided1/2 cup basil leaves, torn if large2 Tbsp. extra-virgin olive oil, plus more for drizzlingFlaky sea saltFreshly ground black pepper","Thinly slice half of radishes on a mandoline and place in a large bowl. Leave remaining radishes whole if small, or slice in half or into wedges if larger and place in same bowl. Season well with kosher salt and squeeze and scrunch radishes several times with your hands to work salt into flesh. Squeeze lemon halves to get 3 Tbsp. juice; save one half for zesting later. Add lemon juice to bowl and finely grate half of cheese over radishes; toss well to coat. Using a fork, crumble remaining cheese into bowl. Add basil and 2 Tbsp. oil and toss again. Taste and season with more kosher salt if needed.
                                                                            Transfer salad to a platter. Drizzle with more oil, sprinkle with sea salt and pepper, and finely grate zest from reserved lemon over.",Bon AppétitSaladRadishLemonParmesanBasilVegetarianWheat/Gluten-Free
0%,0.0,"Yellow tomatoes are sweeter than red, so this mix is big on heat and zing.",recipe,Yellow Tomato Bloody Mary,/recipes/food/views/yellow-tomato-gin-bloody-mary,"2 lb. very ripe yellow tomatoes, cored, coarsely chopped1 celery stalk, coarsely chopped, plus celery heart stalks with leaves for serving6 Tbsp. fresh lemon juice1/4 cup Castelvetrano olive brine, plus olives for serving1/4 cup finely grated peeled horseradish3 Tbsp. hot sauce (preferably Cholula)2 tsp. Worcestershire sauce2 tsp. sugar4 tsp. kosher salt, divided, plus more1 lemon wedge6 oz. gin1 tsp. freshly ground black pepper1 tsp. mild red pepper flakesSun Gold tomatoes (for serving)","Blend yellow tomatoes and chopped celery in a blender until smooth, about 1 minute. Strain through a medium-mesh sieve into a large pitcher, pressing on solids to extract as much juice as possible. Whisk in lemon juice, olive brine, horseradish, hot sauce, Worcestershire sauce, sugar, and 3 tsp. salt. Taste and season with more salt if needed. Cover and chill at least 1 hour and up to 3 days.
                                                                            Combine black pepper, red pepper flakes, and remaining 1 tsp. salt in a shallow bowl.
                                                                            To make each cocktail, rub the rim of a 12-oz. glass with a lemon wedge, then dip into spicy salt. Fill glass with ice and pour in 1½ oz. gin. Top with 5 oz. Bloody Mary mix; garnish with cherry tomatoes, celery heart stalks, and olives.",Bon AppétitCocktailBrunchTomatoDrinkDrinksCeleryLemon JuiceHorseradishGin
100%,4.0,"Refreshing! And potentially debilitating, so be careful. Pitmaster Furman uses Lawn Dart ginger-lemon liqueur, but Absolut Citron will work.",recipe,Spiked Ginger-Mint Lemonade,/recipes/food/views/spiked-ginger-mint-vodka-lemonade,Syrup:1/2 cup chopped mint1/2 cup chopped peeled ginger1 cup sugarCocktail and assembly:1 (750-ml) bottle lemon-flavored vodka2 cups fresh lemon juiceLemon wheels and mint leaves (for serving),"Syrup:                                        Bring mint, ginger, sugar, and 2 cups water to a simmer in a small saucepan over medium heat, whisking to dissolve sugar. Remove from heat and let sit 1 hour. Strain through a fine-mesh sieve into a large measuring glass or a small bowl; let ginger-mint syrup cool completely. Cover and chill until cold, at least 30 minutes.
                                    Cocktail:                                        Combine vodka, lemon juice, ginger-mint syrup, and 4 cups water in a punch bowl and stir well.
                                                                            Ladle spiked lemonade into ice-filled glasses and garnish with lemon wheels and mint leaves.
                                    Do Ahead                                        Syrup can be made 1 month ahead. Keep chilled.",Bon AppétitCocktailDrinkDrinksLemon JuiceMintVodkaGingerSummer
92%,3.0,The beans for this light and lemony first course will need to soak overnight.,recipe,White Bean Salad with Lemon and Cumin,/recipes/food/views/white-bean-salad-with-lemon-and-cumin-236779,"2 cups (14 ounces) dried Great Northern beans2 bay leaves1 1/2 teaspoons salt1/2 large red onion, thinly sliced1/2 cup chopped fresh Italian parsley6 tablespoons olive oil5 tablespoons fresh lemon juice1 teaspoon ground cumin1/2 teaspoon cayenne pepper8 large lettuce leaves","Place beans in large bowl. Add enough cold water to cover by 2 inches. Let beans soak overnight.
                                                                            Drain beans. Place in heavy large saucepan. Add bay leaves and enough cold water to cover by 2 inches; bring to boil. Reduce heat to medium-low and simmer 30 minutes. Add salt and continue to simmer until beans are tender but still hold shape, about 15 minutes longer.
                                                                            Drain beans and place in large bowl; discard bay leaves. Add onion and parsley. Whisk oil, lemon juice, cumin, and cayenne in medium bowl. Season dressing with salt and pepper. Pour over bean salad; toss gently to combine. Do ahead Can be made 2 hours ahead. Let stand at room temperature.
                                        Arrange lettuce leaves on individual plates or on large platter. Spoon bean salad into lettuce and serve.",JewishSaladBeanHanukkahPicnicVegetarianPurimLemonKosherVeganBon Appétit
91%,3.5,"Yes, you can make risotto without all the stirring—just pop it in the oven; and while you’re at it, roast some mushrooms alongside to top off the finished dish.",recipe,Oven Risotto with Crispy Roasted Mushrooms,/recipes/food/views/oven-risotto-with-crispy-roasted-mushrooms,"1 lb. mixed wild, shiitake, and/or crimini mushrooms, broken into pieces or sliced 1/4"" thick (about 4 cups)3 garlic cloves, peeled, thinly sliced6 thyme sprigs1/4 tsp. crushed red pepper flakes1/4 cup plus 2 Tbsp. extra-virgin olive oil, plus more for drizzling1 3/4 tsp. (or more) kosher salt, divided1 medium onion, finely chopped1 cup arborio rice1/2 tsp. freshly ground black pepper1/2 cup dry vermouth or white wine3 cups homemade chicken stock or low-sodium chicken broth, divided2 oz. finely grated Parmesan (about 1 cup)2 Tbsp. cold unsalted butter, cut into pieces1/2 tsp. finely grated lemon zest1/3 cup coarsely chopped parsley leavesLemon wedges (for serving)","Place racks in bottom third and middle of oven; preheat to 350°F. Toss mushrooms, garlic, thyme, red pepper flakes, 1/4 cup oil, and 1/2 tsp. salt on a rimmed baking sheet. Roast on bottom rack, tossing halfway through, until deeply golden brown and crisped, 25–30 minutes.
                                                                            Meanwhile, heat 2 Tbsp. oil in a large ovenproof Dutch oven or heavy pot over medium-high. Add onion and cook, stirring often, until softened and slightly translucent, 3–5 minutes. Stir in rice; season with pepper and 1/2 tsp. salt. Cook, stirring occasionally, until some grains are translucent, about 2 minutes. Add vermouth, bring to a simmer, and cook, stirring occasionally, until pan is almost dry, about 2 minutes. Add 2 1/2 cups stock. Bring to a simmer, then cover and bake in oven until liquid is mostly absorbed but rice is still slightly firm in the center, 16–18 minutes.
                                                                            Return pot to stove and heat over medium. Add remaining 1/2 cup stock and cook, stirring constantly, until rice is tender but still has some bite and sauce is creamy, about 2 minutes. Remove from heat and stir in Parmesan, butter, and lemon zest; season to taste with salt, if needed. Add a little bit of warm water, if needed, until risotto is thick but still pourable.
                                                                            Transfer risotto to a platter. Top with crispy mushrooms and parsley. Drizzle with oil. Serve with lemon wedges alongside.",RisottoMushroomGarlicThymeOnionRiceVermouthWineStockParmesanButterLemonParsleyItalianDinnerWinterWheat/Gluten-Free
100%,3.5,"If you have the time, season the chicken with salt the night before and chill uncovered so the skin will dry out a bit. Doing this helps the chicken take on a nice golden finish.",recipe,Roast Chicken Legs with Lots of Garlic,/recipes/food/views/roast-chicken-legs-with-lots-of-garlic,"4 chicken legs (thigh and drumstick; about 2 1/2 lb. total)Kosher salt4 heads of garlic, halved crosswise1 lemon, thinly sliced into rounds, seeds removed1 red chile (such as Fresno), quartered lengthwise, seeds removed if desired3 bay leaves or 5 sprigs thymeFreshly ground black pepper1/2 cup extra-virgin olive oilCountry-style bread, toasted (for serving)","Preheat oven to 325°F. Place chicken in an 13x9"" baking dish and season generously all over with salt. Add garlic, lemon, chile, bay leaves, and a few grinds of pepper. Pour in oil and toss everything to coat. Turn garlic heads cut side down so they are in contact with the baking dish (this will help them brown).
                                                                            Roast chicken, rotating pan once, until meat is almost falling off the bone, 75–90 minutes. Let chicken cool in pan 10 minutes, then serve with bread.",Bon AppétitDinnerChickenFallWinterGarlicLemonChile PepperRoastDairy FreeWheat/Gluten-Free
100%,3.0,"When all the flavors meld, the dried mint blooms and transforms this dish into an addictive slaw that pairs well with fatty cuts of meat.",recipe,Lemony Cabbage with Mint,/recipes/food/views/lemony-cabbage-with-mint,"1 cup fresh lemon juice1/4 cup dried mint1 medium head of cabbage (about 1 1/2 lb.), halved, very thinly sliced2 tsp. kosher salt, plus more1/4 cup extra-virgin olive oil, plus more","Combine lemon juice and mint in a large bowl. Add cabbage and 2 tsp. salt.
                                                                            Toss cabbage with your hands for a few minutes, squeezing to help soften (the lemon juice and salt will continue to tenderize it as it sits). Add 1/4 cup oil and toss again to coat. Cover and chill at least 2 hours and up to 12 hours.
                                                                            To serve, taste and season with more salt and drizzle with oil.",Bon AppétitSideCabbageMintLemon JuiceMiddle EasternVegetableVegetarianVeganWheat/Gluten-FreeDairy FreeSalad
100%,4.0,At Maydān the lamb shoulder is cooked sous vide until meltingly tender and then finished in the hearth until crisp and golden brown. We adapted their recipe for the oven to similar effect.,recipe,Slow-Roast Spiced Lamb Shoulder with Sumac Onions,/recipes/food/views/slow-roast-spiced-lamb-shoulder-with-sumac-onions,"1 (6–7-lb.) bone-in lamb shoulder2 Tbsp. black peppercorns2 Tbsp. coriander seeds2 Tbsp. paprika2 tsp. ground cinnamon1 tsp. ground cardamom1 tsp. ground cloves1 tsp. freshly grated nutmeg1 large red onion, thinly sliced3 Tbsp. fresh lemon juice2 tsp. sumac1/2 cup mint leaves1/2 cup parsley leaves with tender stemsKosher salt, freshly ground pepperSpecial EquipmentA spice mill or mortar and pestle","Season lamb very generously with salt and pepper; place on a wire rack set inside a rimmed baking sheet.
                                                                            Toast peppercorns and coriander seeds in a dry small skillet over medium heat, tossing often, until fragrant, about 3 minutes; let cool. Finely grind in spice mill or with mortar and pestle; transfer to a small bowl. Mix in paprika, cinnamon, cardamom, cloves, and nutmeg, then rub all over lamb. Chill uncovered at least 4 hours and up to 1 day.
                                                                            Let lamb sit out on counter at room temperature 1 hour before roasting.
                                                                            Place a rack in middle of oven; preheat to 275°F. Transfer lamb to a roasting pan and pour in 3 cups water. Cover tightly with foil and cook, turning lamb over and rotating pan halfway through, until meat is almost falling off the bone, 3–3 1/2 hours. Remove lamb from oven and turn up heat to broil (or to highest heat if you have a drawer-style broiler). Discard foil, transfer lamb to a cutting board, and pour off liquid in pan. Return lamb to pan; roast, uncovered, until nicely browned, about 5 minutes.
                                                                            Meanwhile, toss onion, lemon juice, and sumac in a small bowl with your hands, squeezing onion a bit to soften.
                                                                            Just before serving, toss mint, parsley, and a pinch of salt into onion mixture. Serve lamb topped with onion salad.",Bon AppétitDinnerMiddle EasternLambSpiceCorianderCinnamonCardamomLemon JuiceMintParsleyRoastWheat/Gluten-Free
80%,3.0,"Infused with fragrant mint and brightened by fresh lemon juice, this easy weeknight pasta is a welcome summer dinner.",recipe,"Pasta with Buttermilk, Peas, and Pistachios",/recipes/food/views/orecchiette-pasta-with-buttermilk-peas-and-pistachios,"1/4 cup pistachios12 oz. orecchietteKosher salt12 oz. peas (such as shelled fresh or frozen English and/or halved sugar snap)3 Tbsp. unsalted butter2 Tbsp. extra-virgin olive oil, plus more for drizzling2 medium leeks, white and pale green parts only, cut in half lengthwise, thinly sliced3 garlic cloves, thinly sliced1/2 tsp. crushed red pepper flakes1 small bunch mint, divided3/4 cup buttermilk3 oz. Parmesan, finely grated, plus more for servingFreshly ground black pepper2 Tbsp. fresh lemon juice.","Preheat oven to 350°F. Toast pistachios on a rimmed baking sheet, tossing once, until golden brown, 5–8 minutes. Let cool, then coarsely crush with a measuring cup or glass.
                                                                            Cook pasta in a large pot of boiling salted water 6 minutes, then add peas and cook until pasta is al dente, about 2 minutes more.
                                                                            Meanwhile, heat butter and 2 Tbsp. oil in a medium heavy pot over medium. Cook leeks, garlic, red pepper flakes, and 3 mint sprigs, stirring occasionally, until leeks are soft but not browned, 6–8 minutes; season with salt. Add buttermilk; bring to a simmer. Pluck out mint; discard.
                                                                            Using a slotted spoon, transfer pasta and peas to leek mixture. Add 3 oz. Parmesan; cook, stirring vigorously and adding a little pasta water if needed, until sauce is creamy and coats pasta, about 1 minute. Season with salt and pepper. Remove from heat; add lemon juice. Pull leaves from remaining mint sprigs, tear into pasta, and toss. Divide pasta among bowls. Top with pistachios and Parmesan; drizzle with oil.",Bon AppétitPastaDinnerPistachioPeaLeekMintButtermilkParmesan
0%,0.0,"Toast hazelnuts in a buttered skillet until the whole mix turns to a nutty golden elixir, then add lemon juice for a pop of freshness and spoon over perfectly crisped fish fillets.",recipe,Crispy Fish with Brown Butter and Kohlrabi,/recipes/food/views/crispy-fish-with-brown-butter-sauce-and-kohlrabi-salad,"1 tsp. honey1/4 cup plus 2 tsp. fresh lemon juice3 Tbsp. extra-virgin olive oil, divided1 tsp. kosher salt, plus more2 small kohlrabi, peeled, halved lengthwise, thinly sliced crosswise1 large green apple, cut into quarters lengthwise, thinly sliced lengthwise1/2 red onion, thinly sliced4 (5–6-oz.) skin-on Chilean sea bass or salmon filletsFreshly ground black pepper1/2 cup coarsely chopped blanched hazelnuts6 Tbsp. unsalted butter, cut into piecesLemon wedges (for serving)","Whisk honey, 1/4 cup lemon juice, 2 Tbsp. oil, and 1 tsp. salt in a large bowl. Add kohlrabi, apple, and onion and toss to coat. Let sit while you cook the fish.
                                                                            Swirl remaining 1 Tbsp. oil in a large nonstick skillet to coat. Season fish generously on both sides with salt and pepper and place, skin side down, in cold skillet. Set over medium heat and cook until fat starts to cook out of fish, about 4 minutes. Gently press on fillets with a spatula so skin makes good contact with pan, then keep pressing, cycling from one fillet to the next every few seconds, until skin starts to crisp. Continue to cook without pressing until skin is super crisp and flesh is mostly opaque, 8–10 minutes total (adjust heat as needed, but don’t rush it). Turn over; cook until completely opaque, about 1 minute. Place skin side up on plates.
                                                                            Wipe out skillet and return to medium heat. Cook hazelnuts and butter, swirling pan often, until butter foams, then browns, about 4 minutes. Remove from heat and stir in remaining 2 tsp. lemon juice; season brown butter sauce with salt and pepper.
                                                                            Toss kohlrabi salad and serve alongside fish fillets, leaving excess dressing behind. Spoon brown butter sauce over fish and salad and serve with lemon wedges for squeezing over.",Bon AppétitDinnerSeafoodFishAppleBassSalmonHazelnutButterFall
50%,2.5,"This recipe harnesses the power of chicken thighs by using the fat that renders when they’re seared on the stove to soften thick rounds of leeks and spring peas for an easy, flavorful side.",recipe,Roast Chicken Thighs with Peas and Mint,/recipes/food/views/roast-chicken-thighs-with-peas-and-mint,"6 skin-on, bone-in chicken thighs (about 2 1/2 lb. total)1 Tbsp. ground corianderKosher salt2 Tbsp. extra-virgin olive oil3 large leeks, white and pale green parts only, sliced 1/2"" thick4 garlic cloves, thinly sliced5 (2x1"") strips lemon zest2 bay leaves1/3 cup dry white wine1 1/2 cups low-sodium chicken broth1 cup fresh (or frozen, thawed) peas1 cup mint leaves, torn if large","Preheat oven to 350°F. Pat chicken thighs dry; sprinkle flesh side with coriander. Season generously all over with salt.
                                                                            Heat oil in a large high-sided or cast-iron skillet over medium. Cook chicken, skin side down, undisturbed, until thighs release easily from pan, about 4 minutes. Continue to cook, scooting chicken around occasionally for even browning, until golden brown, about 5 minutes more. Transfer chicken to a plate.
                                                                            Pour out all but 2 Tbsp. fat from skillet and return to medium heat. Add leeks and garlic and cook, stirring occasionally, until slightly softened, about 3 minutes. Add lemon zest and bay leaves and cook, stirring, until fragrant, about 20 seconds. Pour in wine, scraping up any brown bits stuck to bottom of pan with a wooden spoon. Cook until wine is almost completely evaporated, about 3 minutes. Add broth and bring to a simmer. Return chicken to skillet, arranging skin side up. Transfer skillet to oven; roast chicken until cooked through and juices run clear when poked with a paring knife, 15–20 minutes. Transfer chicken to a plate.
                                                                            If using fresh peas, cook in same skillet over medium heat until tender and bright green, about 3 minutes. If using frozen, cook just until warmed through, about 1 minute. Toss in mint; season with more salt if needed. Arrange vegetables and chicken in a large shallow bowl or on a platter.",Bon AppétitDinnerChickenSpringLeekGarlicLemonWhite WineWinePeaMintSoy FreeDairy FreePeanut FreeTree Nut FreeWheat/Gluten-Free
