Again?,Rating,Summary,Tag,Title,URL
100%,4,"Come springtime, sugar snap peas are so tender and fresh it's almost a shame to cook them. We prefer slicing them thinly and eating them raw with a simple dressing, like this creamy, tangy buttermilk one.",recipe,Sugar Snap Pea Salad,/recipes/food/views/sugar-snap-pea-salad
,,"Out of 17 bubbly waters, one sparkled above the rest.",article,Taste Test: Lime Seltzer,/expert-advice/best-lime-sparkling-water-seltzer-article
92%,3,Combine a few pantry staples to make this simple but luxurious anytime pasta.,recipe,"Pasta with Garlic, Anchovies, and Parmesan",/recipes/food/views/pantry-pasta-with-garlic-anchovies-and-parmesan
,,"These streusel-topped, fruit-studded cakes are reason enough to get out of bed in the morning.",gallery,37 Eye-Opening Coffee and Tea Cakes,/recipes-menus/10-best-coffee-cake-recipes-gallery
100%,4,This genius dessert—a simple lemon tart perfumed with elderflower cordial—comes from the first cookbook of “The Great British Bake Off”’s youngest contestant ever.,recipe,Lemon and Elderflower Tart,/recipes/food/views/lemon-and-elderflower-tart
,,"Diversify your vitamin C intake with these tools for juicing, zesting, and more.",article,Everything You Need to Squeeze the Most Out of Citrus Season,/expert-advice/citrus-season-kitchen-tools-article
0%,0,The most refreshing treat of summer is just a few ingredients away.,recipe,Lemon Ice,/recipes/food/views/lemon-ice
88%,3.5,Toss asparagus and frozen peas into boiling linguine just before the pasta has finished cooking for this 30-minute one-pot meal. Sour cream and lemon zest combine for a sprightly sauce that complements packaged smoked salmon.,recipe,One-Pot Spring Pasta,/recipes/food/views/one-pot-spring-pasta-with-smoked-salmon
91%,3.5,"Shaping meatballs into perfect spheres is too fussy for a weeknight meal. Instead, drop dollops of spiced ground chicken onto a sheet pan and roast with carrots until both are golden brown.",recipe,Freeform Chicken Meatballs,/recipes/food/views/freeform-chicken-meatballs-with-carrots-and-yogurt-sauce
100%,4,"The uniform thickness of a butterflied boneless leg of lamb makes it extremely simple to cook and serve. This cut of meat shouldn't be hard to find, but if you get one that is boned and tied, ask your butcher to butterfly it.",recipe,Grilled Marinated Leg of Lamb,/recipes/food/views/grilled-marinated-leg-of-lamb-234655
,,Ten minutes of slow cooking on Sunday makes quick work of dinner all week long.,article,"Weekly Meal Plan June 24-28: Pulled Chicken Sandwiches, Spiced Meatballs, and Extra-Easy Fried Rice",/recipes-menus/weekly-meal-plan-pulled-chicken-sandwiches-spiced-meatballs-and-extra-easy-fried-rice-article
91%,3.5,A scattering of fresh radishes and scallion greens keeps this simple Italian sausage Instant Pot dinner feeling fresh and springy.,recipe,Instant Pot Brothy Farro with Sausage,/recipes/food/views/instant-pot-brothy-farro-with-sausage-and-leeks
100%,4,"This satisfying seafood dinner comes together in as little as 20 minutes. Cooking the fish, then making the warm, herby mustard dressing in the same skillet also means cleanup is a breeze.",recipe,Swordfish Steaks with Asparagus Salad,/recipes/food/views/swordfish-steaks-with-asparagus-and-frisee-salad
100%,3,"Cervo’s restaurant in Manhattan serves a braised squid that is so rich we had to take a stab at our own version of the recipe. Slow-cooking breaks down the squid's collagen so you're left with fork-tender flesh and a tomato sauce infused with rich, briny flavor.",recipe,Slow-Cooked Squid with Olives and Herbs,/recipes/food/views/slow-cooked-squid-with-olives-and-herbs
100%,4,"Make the dressing in a food processor if you like, but it won’t be as smooth or have that bright green hue you get when you do it in a blender.",recipe,Green Goddess Tuna Salad Sandwich,/recipes/food/views/green-goddess-tuna-salad-sandwich
100%,4,"You don't need a culinary school degree to cook fish with skin as crunchy as a potato chip. Grab your nonstick skillet, start the fish skin side down, and slowly raise the heat. The skin will lie flat, gradually rendering fat like a strip of bacon, while the flesh gently cooks through. You can do this. Anyone can do this.",recipe,Crispy-Skinned Fish with Herb Sauce,/recipes/food/views/crispy-skinned-fish-with-herb-sauce
100%,4,We streamlined this recipe to get excellent results in an hour; serve alongside roast chicken or spooned over pan-fried fish or toasted bread.,recipe,Slow-Roasted Bell Peppers,/recipes/food/views/slow-roasted-bell-peppers
0%,0,"This simple dish of fresh smashed avocado, ripe heirloom tomato, and perfectly poached eggs is finished delicately with fresh lemon juice, herbs, and sea salt.",recipe,Avo and Egg,/recipes/food/views/avocado-and-egg-toast
100%,1,Be sure to roll the meatballs firmly into the millet so that the tiny grains don't fall off during frying.,recipe,Fried Meatballs with Tahini Sauce,/recipes/food/views/deep-fried-beef-and-millet-meatballs-with-tahini-sauce
100%,4,"For extra chicken flavor, cook flattened boneless, skinless chicken breasts in rendered chicken fat, then use that same fat to toast croutons for a delicious, crunchy topping.",recipe,Chicken Paillards with Schmaltz Bread Salad,/recipes/food/views/chicken-paillards-with-schmaltz-bread-salad
100%,3.5,"The sweet, spicy, and tart flavors in this coconut-turmeric relish make it a perfect match with cauliflower.",recipe,Coconut-Turmeric Relish,/recipes/food/views/coconut-turmeric-relish
100%,4,"Slow-roasting salmon is a sure-fire, never-fail technique for tender, flaky fish. Coating it with harissa paste ensures it’s flavorful too.",recipe,Slow-Roasted Salmon with Harissa,/recipes/food/views/slow-roasted-salmon-with-harissa
100%,4,Toss this simple dressing through an easy summer salad.,recipe,Lemon Dijon Dressing,/recipes/food/views/shallot-lemon-dijon-salad-dressing
75%,3,"This fresh, vegetable-packed soup is perfect for those chilly spring days when you're craving a bowl of something warm.",recipe,Three-Bean Soup,/recipes/food/views/three-bean-soup
80%,3.5,"Turn store-bought rotisserie chicken (or leftover turkey, if you still have some kicking around) into a hearty soup in about half an hour. Fresh dill and lemon add a nice dose of brightness.",recipe,Lentil and Chicken Soup with Sweet Potatoes,/recipes/food/views/lentil-and-chicken-soup-with-sweet-potatoes-and-escarole
0%,1,"While smaller squash, such as acorn, can be roasted whole, they are more starchy and liable to dry out. Stick with the big boys.",recipe,Twice-Roasted Squash with Parmesan Butter and Grains,/recipes/food/views/twice-roasted-squash-with-parmesan-butter-and-grains
0%,0,"This will last for about 2 days in an airtight container, with plastic wrap pressed onto the surface of the smash to prevent oxidation. Pressing down eliminates any air pockets that might also cause the pesky brown spots.",recipe,Avo Smash,/recipes/food/views/avocado-smash
,,"And it's weeknight-friendly, thanks to the Instant Pot.",article,Lamb Blade Chops Are the Secret to Our Favorite Winter Braise,/ingredients/why-we-love-cooking-with-lamb-blade-chops-article
,,Keep these easy recipes in your back pocket and you'll be the calmest cook on the block.,article,These 5 Essential Sauces Make Summer Cooking a Breeze,/ingredients/the-5-essential-summer-sauces-article
100%,3,"We call this one a picnic dinner since everything can be eaten with your hands. It's easy to pack up and take to the park if you want, but it also works great on the family table.",recipe,10-Minute Shrimp Picnic Dinner,/recipes/food/views/10-minute-shrimp-with-green-beans-and-creamy-lemon-dill-dip
97%,4,"Warm feta, crispy chickpeas, and wilted hearty greens become a fork-and-knife entrée in about 30 minutes.",recipe,Baked Feta and Greens with Lemony Yogurt,/recipes/food/views/baked-feta-and-greens-with-lemony-yogurt
100%,4,"This is an antidote to every side salad that ever was. Instead of meh greens, it's got shavings of fennel that bend and twist but keep their refreshing crunch. It's got a lean dressing and nuggets of deeply toasted croutons, meaty walnuts, and shards of Parmesan. It has acidity and zing—lemon juice, the zest, vinegar, mint, and red pepper flakes—just in case you were worried about palate fatigue. This is what salad looks like in 2018.",recipe,Shaved Fennel Salad,/recipes/food/views/shaved-fennel-salad
,,"With Southeast Asian-inspired burgers and stir-fried noodles on the menu, deconstructed dumplings provide the building materials for more than one meal.",article,Weekly Meal Plan: May 27-31,/recipes-menus/weekly-meal-plan-pork-burgers-roasted-salmon-grilled-cheese-article
60%,2.5,"The texture of shrimp cooked in the Instant Pot is such a pleasant surprise: You’d think the shrimp might be tough or mushy, but it’s firm, tender, and briny.",recipe,Instant Pot Shrimp Scampi,/recipes/food/views/instant-pot-shrimp-scampi
,,"Sure, you can crack the can and just eat them drizzled with olive oil and doused with salt and pepper. But these creamy beans can do so much more.",gallery,"32 White Bean Recipes for Soups, Salads, Stews, and More",/ingredients/pretty-much-everything-you-can-do-with-white-beans-gallery
100%,4,"Spoon this chunky condiment over baked fish, roasted veg, or pork chops.",recipe,Almond and Raisin Agrodolce,/recipes/food/views/almond-and-raisin-agrodolce
,,They're the secret to our food editor's favorite quick and easy weeknight dinners.,article,"Turn Veggies into Dinner with One of These ""Sauces""",/expert-advice/high-protein-sauces-for-vegetables-article
,,"Sweet and spicy pork chops, lemony pasta, and two simple French dinners.",article,Weekly Meal Plan: July 30–August 4,/recipes-menus/weekly-meal-plan-for-july-30-august-4-sweet-spicy-pork-chops-and-lemony-pasta-article
,,"Now that you’re done coloring eggs, it’s time to eat some.",article,Weekly Meal Plan: April 22–26,/recipes-menus/weekly-meal-plan-easy-chicken-caesar-spring-vegetable-pizza-and-a-whole-lot-of-hard-boiled-eggs-article
,,"Whether you're planning a casual Southern picnic or a Ukrainian lamb feast, we've got you covered.",article,9 Easter Menus for Any Occasion,/recipes-menus/our-favorite-easter-menus-article
100%,3.5,"Every Easter when I was growing up, I would wake up to the smell of makoviy rulet, a poppy seed and nut roll that's a traditional baked delicacy popular all over Ukraine. Making the dough can be quite time-consuming, but here I’ve made the process quicker and easier by using store-bought phyllo pastry instead of the usual yeast dough. A slice of this strudel with some black tea with lemon (how we drink it in Ukraine) or coffee is heavenly.",recipe,Poppy Seed and Pecan Strudel,/recipes/food/views/poppy-seed-and-pecan-strudel
,,"The cooking will be easy this week but boy, will you eat well.",article,Weekly Meal Plan: November 26–30,/recipes-menus/weekly-meal-plan-slow-cooker-pot-roast-one-pot-shrimp-pasta-and-chickpea-rice-bowls-article
100%,4,This simple side dish comes together in just about 5 minutes.,recipe,Lemony Asparagus,/recipes/food/views/lemony-sauteed-asparagus
,,"Mix up your roast chicken game with recipes that will have you slathering butter, rubbing on spices, and more.",gallery,53 Ways to Roast a Chicken,/recipes-menus/roast-chicken-variations-gallery
,,"Two new cookbooks say ""yes.""",article,Can You Keep Yourself in Cake Every Day?,/expert-advice/everyday-cake-cookbooks-article
,,"Everything you need to host a fabulous fête, including setting up a bar, easy hors d'oeuvres, and planning tips.",article,Party Planning: How Many Bottles of Champagne for 20 Guests? 25? 30?,/expert-advice/party-planning-how-many-bottles-of-champagne-for-20-guests-25-30-article
100%,3.5,"Any tender herb or green can be used in this riff on a traditional Georgian spring dish, but cilantro and dill make an exceptional, traditional pairing.",recipe,Spring Lamb in Herbs,/recipes/food/views/spring-lamb-in-herbs
,,Here's how to replenish your lost electrolytes post-workout or mid-flu.,article,The 7 Best Drinks for Dehydration,/expert-advice/the-7-best-drinks-for-dehydration-article
88%,3.5,"Jarred marinated artichoke hearts get super-crispy and addictively delicious when roasted, making them the secret star of this simple sheet-pan dinner.",recipe,Roasted Niçoise Salad with Halibut,/recipes/food/views/roasted-nicoise-salad-with-halibut-green-beans-potatoes-artichoke-hearts
,,"Soy-braised chicken, beans and greens, and a summery stir-fry—and guess what? Most of it is done in the Instant Pot.",article,Weekly Meal Plan: June 10–14,/recipes-menus/weekly-meal-plan-soy-braised-chicken-beans-and-greens-and-a-super-green-stir-fry-article
,,"They're not just pretty—they're tender, grassy, and delicious.",article,These Asparagus Ribbons Are Our Springtime Dinner Goals,/expert-advice/how-to-make-asparagus-ribbons-article
,,"Yes, you can put a complete Thanksgiving dinner (and dessert!) on the table and spend only three hours in the kitchen.",video,This Thanksgiving Menu Only Takes 3 Hours,http://video.epicurious.com/watch/last-minute-thanksgiving
,,"Whether you're going to the park, the beach, or your very own backyard, these five salads are ready to travel with you.",article,5 Top-Rated Picnic Sides From Our Archives,/recipes-menus/packable-portable-picnic-side-dishes-to-take-everywhere-this-summer-article
